Nacimiento;Sexo;Residencia;Estrato;Frecuencia_compra;Sitio_compra;Base_compra;Impulso_compra;Combine_nueva;Info_etiqueta;Import_marquilla;Impacto_textil;Cal_impacto;Recurso_imp;Disposición_ropa;Uso_ropasegunda;Origen_compra
16/01/1987;Femenino;Bello;3;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena., Catálogos físicos o revistas de ventas.;Apariencia estética., Utilidad., Calidad., Los precios bajos.;La compro por su utilidad.;Si.;No.;;Acumulación de residuos.;Altos;Suelo.;La regalo o dono a alguien.;Si.;Nacional - Local.
18/01/1987;Femenino;Medellín;3;Una vez por semana.;Tiendas en centros comerciales., Tiendas de autor o marcas locales de diseño.;Apariencia estética., Utilidad., Calidad., Las tendencias o conceptos de moda., Materiales ecológicos., Los precios bajos.;La compro por su utilidad.;Si.;No.;;Contaminación de aguas y suelos.;Altos;Humano.;La regalo o dono a alguien.;No.;Nacional - Local.
30/01/1987;Femenino;Sabaneta;4;Una vez por semana.;Tiendas en centros comerciales.;Apariencia estética.;La compro por deseo.;No.;No.;;Oportunidad de empleos.;Medios;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
1/02/1987;Femenino;Medellín;5;De 3 a cuatro veces por año.;Tiendas en centros comerciales.;Apariencia estética., Calidad., La marca o el almacén de compra.;La compro por su utilidad.;Si.;No.;;Contaminación de aguas y suelos.;Medios;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
5/02/1987;Femenino;Itagüí;3;De 3 a cuatro veces por año.;Tiendas en centros comerciales.;Apariencia estética., Utilidad., Calidad., Las tendencias o conceptos de moda., El comercio justo.;La compro por su utilidad.;Si.;Si.;Materiales., Instrucciones de cuidado., Lugar de fabricación.;Oportunidad de empleos.;Bajos;Humano.;La regalo o dono a alguien.;Si.;Nacional - Local.
22/02/1987;Femenino;Copacabana;3;De 3 a cuatro veces por año.;Tiendas en centros comerciales.;Utilidad., Calidad., La marca o el almacén de compra.;La compro por deseo.;No.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Suelo.;La regalo o dono a alguien.;Si.;Nacional - Local.
20/03/1987;Femenino;Medellín;6;Una vez por semana.;Tiendas en centros comerciales., Internet.;Apariencia estética., Las tendencias o conceptos de moda., Referenciador, fashionista  o Blogger.;La compro por deseo.;Si.;No.;;Acumulación de residuos.;Medios;Agua.;La regalo o dono a alguien.;No.;Importada.
21/03/1987;Femenino;Medellín;5;Una vez al año.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena.;Apariencia estética., Utilidad., Calidad., Los precios bajos.;La compro por su utilidad.;No.;No.;;Oportunidad de empleos.;Medios;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
10/04/1987;Masculino;Medellín;3;Una vez al año.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena.;Apariencia estética., Los precios bajos.;La compro por su utilidad.;No.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Aire.;La regalo o dono a alguien.;Si.;Nacional - Local.
4/05/1987;Femenino;Medellín;3;De 3 a cuatro veces por año.;Tiendas en centros comerciales.;Las tendencias o conceptos de moda.;La compro por deseo.;Si.;No.;;El crecimiento económico de los países.;Medios;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
23/05/1987;Femenino;Medellín;4;Una vez por mes.;Tiendas en centros comerciales., Outlet;Apariencia estética., Los precios bajos., Ajustado a mi cuerpo;La compro por su utilidad.;No.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
6/06/1987;Femenino;Sabaneta;4;Una vez por mes.;Tiendas en centros comerciales.;Las tendencias o conceptos de moda.;La compro por deseo.;Si.;Si.;Empresa fabricante.;El crecimiento económico de los países.;Medios;Humano.;La regalo o dono a alguien.;No.;Importada.
14/08/1987;Femenino;La Estrella;4;De 3 a cuatro veces por año.;Tiendas en centros comerciales.;Utilidad.;La compro por deseo.;Si.;No.;;Contaminación de aguas y suelos.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
15/08/1987;Femenino;Bello;3;Una vez por mes.;Tiendas por departamentos o almacenes de cadena.;Apariencia estética.;La compro por deseo.;Si.;No.;;Contaminación de aguas y suelos.;Altos;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
19/08/1987;Masculino;Medellín;5;Dos veces al año.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena.;Apariencia estética., Calidad.;La compro por deseo.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
21/08/1987;Masculino;Medellín;6;Dos veces al año.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena.;Apariencia estética., La marca o el almacén de compra.;La compro por su utilidad.;Si.;No.;;Oportunidad de empleos.;Altos;Agua.;La regalo o dono a alguien.;No.;Importada.
26/08/1987;Masculino;Medellín;4;No compro.;Tiendas en centros comerciales., Tiendas de autor o marcas locales de diseño., Catálogos físicos o revistas de ventas., Internet.;Apariencia estética., Utilidad.;La compro por su utilidad.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
2/09/1987;Femenino;Itagüí;4;Dos veces al año.;Tiendas en centros comerciales.;Apariencia estética., Utilidad., Calidad., Los precios bajos.;La compro por su utilidad.;Si.;Si.;Materiales.;Acumulación de residuos.;Medios;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
29/10/1987;Femenino;Medellín;5;De 3 a cuatro veces por año.;Catálogos físicos o revistas de ventas.;Apariencia estética.;La compro por deseo.;No.;No.;;El crecimiento económico de los países.;Medios;Humano.;La regalo o dono a alguien.;Si.;Nacional - Local.
4/11/1987;Femenino;Medellín;6;Una vez por mes.;Tiendas en centros comerciales.;Utilidad., Calidad., Las tendencias o conceptos de moda., La marca o el almacén de compra.;La compro por deseo.;Si.;No.;;El crecimiento económico de los países.;Medios;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
26/11/1987;Femenino;Medellín;4;Una vez por mes.;Tiendas en centros comerciales.;Las tendencias o conceptos de moda.;La compro por deseo.;Si.;No.;;Tendencias de conceptos y diseños.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
30/11/1987;Femenino;Medellín;3;Una vez por mes.;Tiendas en centros comerciales., Internet.;Apariencia estética., Utilidad., Calidad., El comercio justo.;La compro por su utilidad.;Si.;Si.;Materiales., Lugar de fabricación.;Acumulación de residuos.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
1/12/1987;Femenino;Medellín;3;Una vez por mes.;Tiendas en centros comerciales.;Utilidad., Calidad.;La compro por deseo.;Si.;Si.;Materiales.;Oportunidad de empleos.;Altos;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
6/12/1987;Masculino;Medellín;4;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas de autor o marcas locales de diseño., Tiendas de segunda mano o roperos., Internet.;Apariencia estética., Calidad.;La compro por deseo.;Si.;No.;;Acumulación de residuos.;Altos;Humano.;La regalo o dono a alguien.;Si.;Nacional - Local.
9/12/1987;Femenino;Itagüí;3;Una vez por mes.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena., Catálogos físicos o revistas de ventas.;Apariencia estética., Utilidad., Calidad., Los precios bajos.;La compro por deseo.;Si.;No.;;Oportunidad de empleos.;Medios;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
10/12/1987;Femenino;Girardota;2;Una vez por mes.;Tiendas por departamentos o almacenes de cadena.;Las tendencias o conceptos de moda.;La compro por deseo.;No.;No.;;El crecimiento económico de los países.;Medios;Humano.;La conservo en el armario.;No.;Nacional - Local.
11/12/1987;Masculino;Medellín;3;Una vez por mes.;Tiendas en centros comerciales.;La marca o el almacén de compra.;La compro por deseo.;Si.;Si.;Materiales.;Tendencias de conceptos y diseños.;Altos;Humano.;La regalo o dono a alguien.;Si.;Importada.
22/12/1987;Femenino;Medellín;5;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas de autor o marcas locales de diseño., Catálogos físicos o revistas de ventas.;Apariencia estética., Calidad., Las tendencias o conceptos de moda., Los precios bajos.;La compro por deseo.;No.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
3/01/1988;Femenino;Sabaneta;3;De 3 a cuatro veces por año.;Tiendas en centros comerciales.;Apariencia estética., Las tendencias o conceptos de moda., La marca o el almacén de compra.;La compro por deseo.;Si.;No.;;Oportunidad de empleos.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
18/01/1988;Femenino;Medellín;2;Una vez por semana.;Tiendas por departamentos o almacenes de cadena.;Utilidad., Los precios bajos.;La compro por deseo.;Si.;Si.;Lugar de fabricación.;Oportunidad de empleos.;Medios;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
18/01/1988;Femenino;Envigado;3;De 3 a cuatro veces por año.;Tiendas en centros comerciales.;Calidad.;La compro por su utilidad.;No.;Si.;Empresa fabricante.;Oportunidad de empleos.;Medios;Suelo.;La regalo o dono a alguien.;No.;Nacional - Local.
21/01/1988;Masculino;Medellín;3;Dos veces al año.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena.;Apariencia estética., Calidad.;La compro por su utilidad.;No.;No.;;Oportunidad de empleos.;Medios;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
1/02/1988;Femenino;Medellín;2;Una vez por mes.;Tiendas en centros comerciales.;Apariencia estética.;La compro por deseo.;Si.;No.;;Emisión de gases y uso de energía.;Altos;Humano.;La regalo o dono a alguien.;Si.;Nacional - Local.
4/02/1988;Femenino;Medellín;3;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena., Catálogos físicos o revistas de ventas.;Apariencia estética., Utilidad., Calidad., Las tendencias o conceptos de moda., Los precios bajos.;La compro por deseo.;Si.;No.;;Contaminación de aguas y suelos.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
9/02/1988;Femenino;Bello;3;De 3 a cuatro veces por año.;Tiendas en centros comerciales.;Apariencia estética., Utilidad., Calidad., Las tendencias o conceptos de moda., El comercio justo., Los precios bajos.;La compro por deseo.;Si.;No.;;Oportunidad de empleos.;Altos;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
9/02/1988;Femenino;Medellín;2;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas de autor o marcas locales de diseño., Tiendas por departamentos o almacenes de cadena., Internet.;Apariencia estética., Utilidad., Calidad., Los precios bajos.;La compro por su utilidad.;Si.;No.;;Emisión de gases y uso de energía.;Medios;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
