Nacimiento;Sexo;Residencia;Estrato;Frecuencia_compra;Sitio_compra;Base_compra;Impulso_compra;Combine_nueva;Info_etiqueta;Import_marquilla;Impacto_textil;Cal_impacto;Recurso_imp;Disposición_ropa;Uso_ropasegunda;Origen_compra
20/03/1989;Femenino;Medellín;6;Una vez por mes.;Tiendas en centros comerciales.;Apariencia estética., Utilidad., Calidad., Los precios bajos.;La compro por su utilidad.;Si.;No.;;Contaminación de aguas y suelos.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
10/04/1989;Masculino;Medellín;3;Una vez al año.;Internet.;Utilidad., La marca o el almacén de compra., Materiales ecológicos.;La compro por su utilidad.;No.;Si.;Materiales., Lugar de fabricación.;Contaminación de aguas y suelos.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
14/04/1989;Femenino;Medellín;3;Dos veces al año.;Tiendas por departamentos o almacenes de cadena., Catálogos físicos o revistas de ventas.;Apariencia estética., Utilidad., El comercio justo.;La compro por su utilidad.;Si.;No.;;Acumulación de residuos.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
6/05/1989;Femenino;Bello;4;De 3 a cuatro veces por año.;Tiendas de segunda mano o roperos.;Las tendencias o conceptos de moda.;La compro por deseo.;Si.;No.;;Oportunidad de empleos.;Medios;Humano.;La regalo o dono a alguien.;Si.;Importada.
29/05/1989;Femenino;Itagüí;3;De 3 a cuatro veces por año.;Tiendas de segunda mano o roperos.;Apariencia estética.;La compro por su utilidad.;No.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
14/06/1989;Masculino;Medellín;3;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Catálogos físicos o revistas de ventas.;Apariencia estética., Calidad.;La compro por deseo.;Si.;No.;;Acumulación de residuos.;Altos;Suelo.;La transformo en otra prenda u objeto..;Si.;Nacional - Local.
8/07/1989;Femenino;Medellín;4;Una vez por mes.;Tiendas en centros comerciales., Tiendas de autor o marcas locales de diseño., Tiendas por departamentos o almacenes de cadena.;Calidad., La marca o el almacén de compra.;La compro por deseo.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
15/07/1989;Femenino;Medellín;3;Una vez por mes.;Internet.;Apariencia estética., Utilidad., Calidad., El comercio justo.;La compro por deseo.;No.;Si.;Materiales., Instrucciones de cuidado., Lugar de fabricación., Empresa fabricante.;El crecimiento económico de los países.;Medios;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
17/07/1989;Femenino;Itagüí;3;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Catálogos físicos o revistas de ventas.;Apariencia estética., Utilidad., Calidad.;La compro por deseo.;Si.;No.;;El crecimiento económico de los países.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
19/07/1989;Masculino;Medellín;2;Una vez al año.;Tiendas en centros comerciales.;Apariencia estética.;La compro por su utilidad.;No.;Si.;Materiales.;Acumulación de residuos.;Altos;Suelo.;La regalo o dono a alguien.;Si.;Nacional - Local.
15/08/1989;Femenino;Itagüí;3;Una vez por mes.;Tiendas en centros comerciales., Catálogos físicos o revistas de ventas., Internet.;Apariencia estética.;La compro por deseo.;No.;No.;;Tendencias de conceptos y diseños.;Medios;Humano.;La regalo o dono a alguien.;No.;Nacional - Local.
24/08/1989;Masculino;Medellín;4;De 3 a cuatro veces por año.;Tiendas en centros comerciales.;Apariencia estética., Calidad.;La compro por deseo.;No.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Humano.;La regalo o dono a alguien.;No.;Importada.
6/09/1989;Femenino;Bello;1;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena.;Apariencia estética., Utilidad., Calidad., Los precios bajos.;La compro por deseo.;No.;Si.;Materiales., Lugar de fabricación.;Contaminación de aguas y suelos.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
17/09/1989;Femenino;Medellín;3;Una vez por semana.;Tiendas en centros comerciales.;Utilidad.;La compro por deseo.;No.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
23/09/1989;Masculino;Medellín;4;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas de autor o marcas locales de diseño., Tiendas de segunda mano o roperos.;Apariencia estética., Utilidad., Calidad.;La compro por deseo.;Si.;Si.;Materiales., Instrucciones de cuidado., Lugar de fabricación., Empresa fabricante.;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Humano.;La regalo o dono a alguien.;Si.;Nacional - Local.
29/09/1989;Femenino;Medellín;2;Dos veces al año.;Tiendas en centros comerciales.;Utilidad., Calidad.;La compro por su utilidad.;No.;No.;;Contaminación de aguas y suelos.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
30/09/1989;Femenino;Medellín;3;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Catálogos físicos o revistas de ventas., Internet.;Apariencia estética., Utilidad., Calidad., Materiales ecológicos., Los precios bajos.;La compro por deseo.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Medios;Humano.;La regalo o dono a alguien.;Si.;Nacional - Local.
30/09/1989;Femenino;Medellín;3;Dos veces al año.;Tiendas en centros comerciales., Catálogos físicos o revistas de ventas., Internet.;Apariencia estética., Utilidad., Calidad., Los precios bajos.;La compro por deseo.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Medios;Humano.;La regalo o dono a alguien.;Si.;Nacional - Local.
5/10/1989;Femenino;Medellín;3;Una vez al año.;Tiendas por departamentos o almacenes de cadena.;Utilidad.;La compro por su utilidad.;No.;No.;;Oportunidad de empleos.;Medios;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
1/11/1989;Femenino;Medellín;5;Una vez por mes.;Tiendas en centros comerciales., Internet.;Apariencia estética., La marca o el almacén de compra.;La compro por deseo.;Si.;No.;;Contaminación de aguas y suelos.;Altos;Humano.;La regalo o dono a alguien.;No.;Nacional - Local.
8/11/1989;Masculino;Bello;3;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena., Internet.;Apariencia estética., Calidad.;La compro por deseo.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Medios;Agua.;La regalo o dono a alguien.;Si.;Importada.
21/11/1989;Masculino;Itagüí;2;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena., Internet.;Las tendencias o conceptos de moda.;La compro por deseo.;Si.;Si.;Instrucciones de cuidado.;Contaminación de aguas y suelos.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
21/11/1989;Masculino;Itagüí;2;Una vez por mes.;Tiendas en centros comerciales.;Las tendencias o conceptos de moda.;La compro por deseo.;Si.;Si.;Materiales., Instrucciones de cuidado.;Acumulación de residuos.;Altos;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
18/12/1989;Masculino;Bello;3;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas de autor o marcas locales de diseño., Catálogos físicos o revistas de ventas., Internet.;Apariencia estética., Auto-Identidad y auto-asesoria de imagen;La compro por su utilidad.;No.;No.;;Contaminación de aguas y suelos.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
1/01/1990;Femenino;Medellín;6;De 3 a cuatro veces por año.;Tiendas de autor o marcas locales de diseño., Catálogos físicos o revistas de ventas.;Apariencia estética., Los precios bajos.;La compro por deseo.;No.;No.;;Acumulación de residuos.;Medios;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
6/01/1990;Femenino;Medellín;5;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena., Internet.;Apariencia estética., Utilidad., Calidad., Los precios bajos.;La compro por deseo.;Si.;No.;;Acumulación de residuos.;Medios;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
15/01/1990;Femenino;Medellín;4;Dos veces al año.;Tiendas en centros comerciales.;Apariencia estética., Utilidad., Calidad., La marca o el almacén de compra.;La compro por su utilidad.;No.;No.;;Acumulación de residuos.;Altos;Suelo.;La regalo o dono a alguien.;No.;Nacional - Local.
21/01/1990;Femenino;Medellín;4;De 3 a cuatro veces por año.;Tiendas en centros comerciales.;Calidad., Las tendencias o conceptos de moda., Los precios bajos.;La compro por deseo.;Si.;No.;;Oportunidad de empleos.;Medios;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
23/01/1990;Femenino;Medellín;4;Una vez por mes.;Tiendas en centros comerciales.;Las tendencias o conceptos de moda., La marca o el almacén de compra., Los precios bajos.;La compro por su utilidad.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Bajos;Humano.;La tiro a la basura.;Si.;Nacional - Local.
1/02/1990;Femenino;Sabaneta;4;Una vez por mes.;Tiendas en centros comerciales., Catálogos físicos o revistas de ventas.;Apariencia estética., Utilidad., Los precios bajos.;La compro por su utilidad.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
7/03/1990;Masculino;Medellín;3;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena., Internet.;Utilidad., Calidad., El comercio justo., Los precios bajos.;La compro por su utilidad.;No.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Medios;Humano.;La regalo o dono a alguien.;Si.;Nacional - Local.
16/03/1990;Femenino;Medellín;2;De 3 a cuatro veces por año.;Tiendas de segunda mano o roperos.;Los precios bajos.;La compro por deseo.;No.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Medios;Humano.;La conservo en el armario.;Si.;Nacional - Local.
15/04/1990;Femenino;Medellín;3;Dos veces al año.;Tiendas en centros comerciales.;Utilidad.;La compro por su utilidad.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
30/04/1990;Masculino;Sabaneta;3;Dos veces al año.;Tiendas en centros comerciales.;Apariencia estética., Calidad., La marca o el almacén de compra.;La compro por deseo.;Si.;No.;;Tendencias de conceptos y diseños.;Medios;Suelo.;La regalo o dono a alguien.;No.;Importada.
30/04/1990;Femenino;La Estrella;4;De 3 a cuatro veces por año.;Tiendas de autor o marcas locales de diseño., Internet.;Utilidad., Calidad., El comercio justo.;La compro por su utilidad.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Medios;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
14/05/1990;Femenino;Medellín;3;De 3 a cuatro veces por año.;Tiendas de autor o marcas locales de diseño.;Utilidad., Calidad., El comercio justo.;La compro por su utilidad.;Si.;Si.;Instrucciones de cuidado.;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Medios;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
17/05/1990;Femenino;Medellín;2;De 3 a cuatro veces por año.;Tiendas por departamentos o almacenes de cadena., Catálogos físicos o revistas de ventas.;Calidad., Las tendencias o conceptos de moda.;La compro por su utilidad.;Si.;No.;;Contaminación de aguas y suelos.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
1/06/1990;Femenino;Medellín;4;Dos veces al año.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena., Catálogos físicos o revistas de ventas., Internet.;Apariencia estética., Calidad., Materiales ecológicos., Los precios bajos.;La compro por deseo.;Si.;Si.;Materiales., Lugar de fabricación.;Emisión de gases y uso de energía.;Altos;Aire.;La regalo o dono a alguien.;Si.;Nacional - Local.
29/06/1990;Femenino;Medellín;2;Una vez por mes.;Tiendas en centros comerciales., Catálogos físicos o revistas de ventas., Internet.;Apariencia estética., Utilidad., Calidad., Las tendencias o conceptos de moda.;La compro por deseo.;No.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
3/07/1990;Femenino;Medellín;5;Una vez por mes.;Tiendas en centros comerciales.;Apariencia estética.;La compro por deseo.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
12/07/1990;Femenino;Bello;3;De 3 a cuatro veces por año.;Tiendas de autor o marcas locales de diseño.;Apariencia estética., Utilidad., Calidad., Los precios bajos.;La compro por su utilidad.;No.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Medios;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
28/07/1990;Femenino;Medellín;4;Una vez por mes.;Tiendas en centros comerciales., Tiendas de autor o marcas locales de diseño., Catálogos físicos o revistas de ventas., Internet.;Apariencia estética., Utilidad., Calidad.;La compro por su utilidad.;Si.;No.;;Contaminación de aguas y suelos.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
28/07/1990;Femenino;Medellín;4;Una vez por mes.;Tiendas por departamentos o almacenes de cadena., Catálogos físicos o revistas de ventas., Internet.;Apariencia estética., Utilidad.;La compro por su utilidad.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
1/08/1990;Femenino;Sabaneta;4;Una vez por mes.;Tiendas en centros comerciales., Tiendas de autor o marcas locales de diseño.;Apariencia estética., Utilidad., Calidad., Las tendencias o conceptos de moda., La marca o el almacén de compra.;La compro por su utilidad.;Si.;No.;;Acumulación de residuos.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
5/09/1990;Femenino;Medellín;3;Una vez por mes.;Catálogos físicos o revistas de ventas.;Apariencia estética., Calidad., Los precios bajos.;La compro por su utilidad.;Si.;Si.;Empresa fabricante.;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Medios;Suelo.;La regalo o dono a alguien.;Si.;Nacional - Local.
7/09/1990;Femenino;Medellín;3;Una vez por mes.;Tiendas de autor o marcas locales de diseño., Catálogos físicos o revistas de ventas., Internet.;Calidad.;La compro por su utilidad.;Si.;No.;;El crecimiento económico de los países.;Medios;Aire.;La regalo o dono a alguien.;No.;Nacional - Local.
10/09/1990;Femenino;Medellín;4;Una vez por mes.;Tiendas en centros comerciales., Catálogos físicos o revistas de ventas., Tiendas de segunda mano o roperos., Internet.;Apariencia estética., Utilidad., Calidad., La marca o el almacén de compra., Los precios bajos.;La compro por deseo.;No.;Si.;Empresa fabricante.;Contaminación de aguas y suelos.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
26/09/1990;Femenino;Bello;3;Una vez por mes.;Tiendas en centros comerciales., Tiendas de autor o marcas locales de diseño., Tiendas por departamentos o almacenes de cadena., Catálogos físicos o revistas de ventas.;Calidad., Las tendencias o conceptos de moda., La marca o el almacén de compra., El comercio justo., Los precios bajos.;La compro por deseo.;Si.;Si.;Materiales., Lugar de fabricación., Empresa fabricante.;Oportunidad de empleos.;Medios;Aire.;La regalo o dono a alguien.;Si.;Nacional - Local.
27/09/1990;Femenino;Itagüí;3;De 3 a cuatro veces por año.;Tiendas en centros comerciales.;Los precios bajos.;La compro por deseo.;Si.;No.;;Oportunidad de empleos.;Bajos;Humano.;La regalo o dono a alguien.;Si.;Nacional - Local.
29/09/1990;Masculino;Envigado;4;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas de segunda mano o roperos., Internet.;Apariencia estética., Calidad.;La compro por deseo.;Si.;No.;;Contaminación de aguas y suelos.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
30/09/1990;Masculino;Bello;3;Una vez por mes.;Tiendas en centros comerciales., Tiendas de autor o marcas locales de diseño., Tiendas por departamentos o almacenes de cadena., Catálogos físicos o revistas de ventas., Internet.;Referenciador, fashionista  o Blogger.;La compro por deseo.;Si.;Si.;Lugar de fabricación., Empresa fabricante.;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
8/10/1990;Masculino;Medellín;3;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena., Catálogos físicos o revistas de ventas.;Apariencia estética., Utilidad., Calidad.;La compro por deseo.;Si.;No.;;Oportunidad de empleos.;Medios;Aire.;La regalo o dono a alguien.;No.;Nacional - Local.
19/10/1990;Femenino;Bello;2;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Catálogos físicos o revistas de ventas.;Apariencia estética., Utilidad., Calidad.;La compro por su utilidad.;Si.;No.;;Contaminación de aguas y suelos.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
5/11/1990;Masculino;Medellín;4;Dos veces al año.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena.;Apariencia estética., Los precios bajos.;La compro por deseo.;No.;No.;;Tendencias de conceptos y diseños.;Medios;Suelo.;La regalo o dono a alguien.;Si.;Importada.
9/11/1990;Masculino;Bello;3;De 3 a cuatro veces por año.;Tiendas por departamentos o almacenes de cadena.;Apariencia estética., Utilidad., Calidad., La marca o el almacén de compra.;La compro por su utilidad.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Medios;Humano.;La regalo o dono a alguien.;Si.;Importada.
13/12/1990;Femenino;Medellín;3;Dos veces al año.;Catálogos físicos o revistas de ventas.;Apariencia estética., Utilidad., Los precios bajos.;La compro por deseo.;No.;No.;;Oportunidad de empleos.;Medios;Suelo.;La regalo o dono a alguien.;Si.;Nacional - Local.
1/01/1991;Masculino;Caldas;2;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas de autor o marcas locales de diseño., Tiendas de segunda mano o roperos., Internet.;Apariencia estética., Utilidad., Calidad., Las tendencias o conceptos de moda., Los precios bajos.;La compro por su utilidad.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
24/01/1991;Femenino;Medellín;4;Una vez por mes.;Tiendas en centros comerciales., Catálogos físicos o revistas de ventas., Internet.;Apariencia estética., Calidad.;La compro por deseo.;Si.;No.;;Tendencias de conceptos y diseños.;Medios;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
22/02/1991;Femenino;Medellín;4;Una vez por semana.;Tiendas en centros comerciales., Tiendas de autor o marcas locales de diseño., Internet.;Apariencia estética., Calidad., El comercio justo., Los precios bajos.;La compro por deseo.;No.;Si.;Materiales., Lugar de fabricación.;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Medios;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
25/02/1991;Femenino;Medellín;6;Una vez por mes.;Tiendas en centros comerciales.;Apariencia estética.;La compro por deseo.;Si.;No.;;Oportunidad de empleos.;Medios;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
4/04/1991;Femenino;Medellín;6;Una vez por mes.;Tiendas en centros comerciales.;Apariencia estética., Utilidad., Calidad.;La compro por deseo.;Si.;No.;;El crecimiento económico de los países.;Altos;Aire.;La regalo o dono a alguien.;Si.;Nacional - Local.
6/04/1991;Femenino;Medellín;3;Una vez por semana.;Tiendas en centros comerciales., Catálogos físicos o revistas de ventas., Internet.;Apariencia estética., Calidad., Las tendencias o conceptos de moda.;La compro por deseo.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Medios;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
12/05/1991;Femenino;Envigado;3;Una vez por mes.;Tiendas en centros comerciales., Tiendas de autor o marcas locales de diseño.;Calidad., Las tendencias o conceptos de moda.;La compro por deseo.;Si.;No.;;Contaminación de aguas y suelos.;Altos;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
26/06/1991;Femenino;Medellín;4;De 3 a cuatro veces por año.;Tiendas en centros comerciales.;Apariencia estética., Los precios bajos.;La compro por su utilidad.;No.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
31/07/1991;Femenino;Itagüí;2;Una vez por mes.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena., Catálogos físicos o revistas de ventas.;Utilidad., Calidad., El comercio justo., Los precios bajos.;La compro por su utilidad.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
15/08/1991;Femenino;Itagüí;3;Una vez por mes.;Tiendas en centros comerciales.;Apariencia estética., Las tendencias o conceptos de moda., Referenciador, fashionista  o Blogger.;La compro por deseo.;No.;No.;;El crecimiento económico de los países.;Altos;Aire.;La regalo o dono a alguien.;No.;Nacional - Local.
29/08/1991;Masculino;Medellín;3;Una vez por mes.;Tiendas en centros comerciales., Tiendas de autor o marcas locales de diseño., Catálogos físicos o revistas de ventas.;Apariencia estética., Calidad., Los precios bajos.;La compro por deseo.;Si.;No.;;El crecimiento económico de los países.;Medios;Aire.;La regalo o dono a alguien.;Si.;Nacional - Local.
8/09/1991;Masculino;Medellín;6;De 3 a cuatro veces por año.;Tiendas en centros comerciales.;Apariencia estética., Calidad.;La compro por deseo.;No.;No.;;Oportunidad de empleos.;Bajos;Agua.;La regalo o dono a alguien.;No.;Importada.
10/09/1991;Femenino;Medellín;3;Una vez al año.;Tiendas en centros comerciales.;Simplemente que me guste;La compro por deseo.;No.;No.;;Tendencias de conceptos y diseños.;Medios;Humano.;La regalo o dono a alguien.;Si.;Importada.
10/09/1991;Femenino;Medellín;3;Una vez por mes.;Tiendas de autor o marcas locales de diseño.;Las tendencias o conceptos de moda.;La compro por su utilidad.;Si.;Si.;Lugar de fabricación.;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
9/10/1991;Femenino;Envigado;5;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Catálogos físicos o revistas de ventas., Internet.;Apariencia estética., Calidad., Las tendencias o conceptos de moda., Los precios bajos.;La compro por deseo.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
27/10/1991;Masculino;Medellín;3;Una vez al año.;Tiendas de segunda mano o roperos.;Apariencia estética., Utilidad., Calidad., Los precios bajos.;La compro por su utilidad.;No.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Medios;Humano.;La regalo o dono a alguien.;Si.;Nacional - Local.
4/11/1991;Femenino;Medellín;3;Dos veces al año.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena.;Apariencia estética., Utilidad., Calidad., Los precios bajos.;La compro por su utilidad.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
5/11/1991;Femenino;Medellín;5;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Internet.;Apariencia estética., Calidad., La marca o el almacén de compra., El comercio justo., Materiales ecológicos., Los precios bajos.;La compro por deseo.;No.;No.;;Contaminación de aguas y suelos.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
19/11/1991;Masculino;Medellín;3;Una vez al año.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena.;Apariencia estética., Utilidad., Calidad., Los precios bajos.;La compro por su utilidad.;No.;No.;;Oportunidad de empleos.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
23/11/1991;Femenino;Medellín;3;Dos veces al año.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena.;Apariencia estética., Utilidad., Calidad., La marca o el almacén de compra., Materiales ecológicos., Los precios bajos.;La compro por su utilidad.;No.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Medios;Agua.;La uso para otro fin.;Si.;Nacional - Local.
14/12/1991;Femenino;La Estrella;2;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Catálogos físicos o revistas de ventas.;Utilidad., Los precios bajos.;La compro por deseo.;No.;No.;;Oportunidad de empleos.;Altos;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
14/12/1991;Masculino;Medellín;6;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Internet.;Apariencia estética., Utilidad., Calidad.;La compro por su utilidad.;Si.;Si.;Materiales.;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La regalo o dono a alguien.;No.;Importada.
19/12/1991;Femenino;Envigado;2;Una vez por mes.;Tiendas en centros comerciales.;Los precios bajos.;La compro por deseo.;Si.;Si.;Instrucciones de cuidado., Empresa fabricante.;Oportunidad de empleos.;Medios;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
30/12/1991;Masculino;Medellín;3;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Internet.;Utilidad., Calidad., La marca o el almacén de compra., Los precios bajos.;La compro por su utilidad.;Si.;No.;;Acumulación de residuos.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
2/01/1992;Masculino;La Estrella;2;Dos veces al año.;Tiendas en centros comerciales.;Lo que me gusta ;La compro por deseo.;No.;No.;;Tendencias de conceptos y diseños.;Medios;Humano.;La regalo o dono a alguien.;Si.;Nacional - Local.
18/01/1992;Masculino;Caldas;3;Una vez por mes.;Tiendas en centros comerciales., Catálogos físicos o revistas de ventas.;Apariencia estética., Utilidad.;La compro por deseo.;No.;No.;;Contaminación de aguas y suelos.;Medios;Agua.;La regalo o dono a alguien.;No.;Importada.
22/01/1992;Masculino;Sabaneta;4;De 3 a cuatro veces por año.;Tiendas en centros comerciales.;Apariencia estética., Las tendencias o conceptos de moda., La marca o el almacén de compra., Los precios bajos.;La compro por deseo.;Si.;Si.;Materiales., Lugar de fabricación.;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Humano.;La regalo o dono a alguien.;Si.;Nacional - Local.
23/01/1992;Femenino;Medellín;2;Una vez por semana.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena., Catálogos físicos o revistas de ventas., Internet.;Apariencia estética., Utilidad., La marca o el almacén de compra., Los precios bajos.;La compro por deseo.;Si.;No.;;Oportunidad de empleos.;Medios;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
16/02/1992;Femenino;Sabaneta;4;De 3 a cuatro veces por año.;Tiendas en centros comerciales.;Apariencia estética., Calidad., Las tendencias o conceptos de moda.;La compro por deseo.;Si.;Si.;Instrucciones de cuidado.;Oportunidad de empleos.;Bajos;Humano.;La regalo o dono a alguien.;No.;Importada.
